Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,Default_Probability,Credit_Score
1,1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0,0.3547784116948822,654
2,0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,0.18559149063896774,747
3,0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,0.44488576514213746,605
4,0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0,0.09200980579026066,799
5,0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0,0.15576823428736453,764
6,0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,0.01961808431961254,839
7,0,0.305682465,57,0,5710.0,,8,0,3,0,0.0,0.027303505738955455,834
8,0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0,0.17553155128809161,753
9,0,0.116950644,27,0,46.0,,2,0,0,0,,0.05189817924432416,821
10,0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0,0.04749904123976824,823
11,0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,0.12239597686800655,782
12,0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,0.021908491432413357,837
13,0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,0.010658346447504631,844
14,1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0,0.6732111804622176,479
